class,scorer,epoch,AUROC
ToyCar,student-knn,36,69.193
ToyCar,student-knn,38,69.445
ToyCar,student-knn,40,69.459
ToyCar,student-knn,42,69.961
ToyCar,student-knn,44,70.112
ToyCar,student-knn,46,70.064
ToyCar,student-knn,48,70.214
ToyCar,student-knn,50,69.933
ToyCar,teacher-maha,2,75.682
ToyCar,teacher-maha,4,75.682
ToyCar,teacher-maha,6,75.682
ToyCar,teacher-maha,8,75.682
ToyCar,teacher-maha,10,75.682
ToyCar,teacher-maha,12,75.682
ToyCar,teacher-maha,14,75.682
ToyCar,teacher-maha,16,75.682
ToyCar,teacher-maha,18,75.682
ToyCar,teacher-maha,20,75.682
ToyCar,teacher-maha,22,75.682
ToyCar,teacher-maha,24,75.682
ToyCar,teacher-maha,26,75.682
ToyCar,teacher-maha,28,75.682
ToyCar,teacher-maha,30,75.682
ToyCar,teacher-maha,32,75.682
ToyCar,teacher-maha,34,75.682
ToyCar,teacher-maha,36,75.682
ToyCar,teacher-maha,38,75.682
ToyCar,teacher-maha,40,75.682
ToyCar,teacher-maha,42,75.682
ToyCar,teacher-maha,44,75.682
ToyCar,teacher-maha,46,75.682
ToyCar,teacher-maha,48,75.682
ToyCar,teacher-maha,50,75.682
ToyCar,teacher-knn,2,74.138
ToyCar,teacher-knn,4,74.138
ToyCar,teacher-knn,6,74.138
ToyCar,teacher-knn,8,74.138
ToyCar,teacher-knn,10,74.138
ToyCar,teacher-knn,12,74.138
ToyCar,teacher-knn,14,74.138
ToyCar,teacher-knn,16,74.138
ToyCar,teacher-knn,18,74.138
ToyCar,teacher-knn,20,74.138
ToyCar,teacher-knn,22,74.138
ToyCar,teacher-knn,24,74.138
ToyCar,teacher-knn,26,74.138
ToyCar,teacher-knn,28,74.138
ToyCar,teacher-knn,30,74.138
ToyCar,teacher-knn,32,74.138
ToyCar,teacher-knn,34,74.138
ToyCar,teacher-knn,36,74.138
ToyCar,teacher-knn,38,74.138
ToyCar,teacher-knn,40,74.138
ToyCar,teacher-knn,42,74.138
ToyCar,teacher-knn,44,74.138
ToyCar,teacher-knn,46,74.138
ToyCar,teacher-knn,48,74.138
ToyCar,teacher-knn,50,74.138
ToyConveyor,cos-residual,2,56.669
ToyConveyor,cos-residual,4,59.066
ToyConveyor,cos-residual,6,59.616
ToyConveyor,cos-residual,8,61.216
ToyConveyor,cos-residual,10,61.509
ToyConveyor,cos-residual,12,61.607
ToyConveyor,cos-residual,14,61.849
ToyConveyor,cos-residual,16,61.603
ToyConveyor,cos-residual,18,62.009
ToyConveyor,cos-residual,20,62.33
ToyConveyor,cos-residual,22,61.141
ToyConveyor,cos-residual,24,60.874
ToyConveyor,cos-residual,26,60.653
ToyConveyor,cos-residual,28,59.703
