class,scan,epoch,AUROC
valve,scan,36,70.601
valve,scan,38,71.041
valve,scan,40,71.847
valve,scan,42,71.087
valve,scan,44,71.267
valve,scan,46,71.237
valve,scan,48,71.245
valve,scan,50,71.336
valve,sweep,2,71.356
valve,sweep,4,69.768
valve,sweep,6,71.29
valve,sweep,8,71.29
valve,sweep,10,70.96
valve,sweep,12,70.46
valve,sweep,14,70.661
valve,sweep,16,70.738
valve,sweep,18,70.583
valve,sweep,20,70.897
valve,sweep,22,71.719
valve,sweep,24,70.719
valve,sweep,26,70.694
valve,sweep,28,71.243
valve,sweep,30,71.002
valve,sweep,32,70.836
valve,sweep,34,70.606
valve,sweep,36,70.813
valve,sweep,38,71.276
valve,sweep,40,71.125
valve,sweep,42,71.057
valve,sweep,44,71.198
valve,sweep,46,71.353
valve,sweep,48,71.252
valve,sweep,50,71.419
valve,zigzag,2,70.62
valve,zigzag,4,70.33
valve,zigzag,6,71.894
valve,zigzag,8,70.499
valve,zigzag,10,71.255
valve,zigzag,12,71.142
valve,zigzag,14,70.05
valve,zigzag,16,71.444
valve,zigzag,18,71.159
valve,zigzag,20,71.657
valve,zigzag,22,71.155
valve,zigzag,24,71.292
valve,zigzag,26,71.121
valve,zigzag,28,71.622
valve,zigzag,30,70.726
valve,zigzag,32,70.512
valve,zigzag,34,70.383
valve,zigzag,36,70.794
valve,zigzag,38,71.427
valve,zigzag,40,71.076
valve,zigzag,42,71.237
valve,zigzag,44,71.326
valve,zigzag,46,71.343
valve,zigzag,48,71.356
valve,zigzag,50,71.361
ToyCar,hilbert,2,65.229
ToyCar,hilbert,4,68.962
ToyCar,hilbert,6,68.458
ToyCar,hilbert,8,67.88
ToyCar,hilbert,10,69.321
ToyCar,hilbert,12,69.461
ToyCar,hilbert,14,69.865
ToyCar,hilbert,16,71.539
ToyCar,hilbert,18,70.945
ToyCar,hilbert,20,71.989
ToyCar,hilbert,22,72.773
ToyCar,hilbert,24,72.377
ToyCar,hilbert,26,73.153
ToyCar,hilbert,28,74.406
ToyCar,hilbert,30,74.272
ToyCar,hilbert,32,74.008
ToyCar,hilbert,34,74.061
ToyCar,hilbert,36,74.342
ToyCar,hilbert,38,73.723
ToyCar,hilbert,40,75.371
ToyCar,hilbert,42,75.137
ToyCar,hilbert,44,75.31
ToyCar,hilbert,46,75.205
ToyCar,hilbert,48,74.954
ToyCar,hilbert,50,74.911
ToyCar,zorder,2,61.776
ToyCar,zorder,4,66.939
