epoch,section,n,neg_cos,maha_embed
45,ToyCar/id_02,615,0.7860,0.9012
45,ToyCar/id_03,615,0.8997,0.7184
45,ToyCar/id_04,615,0.9998,0.8719
45,ToyConveyor/id_01,1200,0.6535,0.7395
45,ToyConveyor/id_02,1155,0.5244,0.5744
45,ToyConveyor/id_03,1154,0.5617,0.6365
46,ToyCar/id_01,614,0.7481,0.7981
46,ToyCar/id_02,615,0.8640,0.8975
46,ToyCar/id_03,615,0.7805,0.7659
46,ToyCar/id_04,615,1.0000,0.8437
46,ToyConveyor/id_01,1200,0.5785,0.7337
46,ToyConveyor/id_02,1155,0.5764,0.5864
46,ToyConveyor/id_03,1154,0.6144,0.6462
47,ToyCar/id_01,614,0.7627,0.7875
47,ToyCar/id_02,615,0.9257,0.9213
47,ToyCar/id_03,615,0.9635,0.7715
47,ToyCar/id_04,615,0.9999,0.8983
47,ToyConveyor/id_01,1200,0.7737,0.7323
47,ToyConveyor/id_02,1155,0.5901,0.5778
47,ToyConveyor/id_03,1154,0.5537,0.6503
48,ToyCar/id_01,614,0.8135,0.7855
48,ToyCar/id_02,615,0.9445,0.9063
48,ToyCar/id_03,615,0.9432,0.7597
48,ToyCar/id_04,615,0.9994,0.8894
48,ToyConveyor/id_01,1200,0.7601,0.7300
48,ToyConveyor/id_02,1155,0.5059,0.5640
48,ToyConveyor/id_03,1154,0.5597,0.6686
49,ToyCar/id_01,614,0.7750,0.7765
49,ToyCar/id_02,615,0.9084,0.8778
49,ToyCar/id_03,615,0.9891,0.7232
49,ToyCar/id_04,615,1.0000,0.8985
49,ToyConveyor/id_01,1200,0.6413,0.7228
49,ToyConveyor/id_02,1155,0.5033,0.5767
49,ToyConveyor/id_03,1154,0.4082,0.6812
50,ToyCar/id_01,614,0.6330,0.7683
50,ToyCar/id_02,615,0.8483,0.8756
50,ToyCar/id_03,615,0.9766,0.7532
50,ToyCar/id_04,615,0.9996,0.8567
50,ToyConveyor/id_01,1200,0.6423,0.7187
50,ToyConveyor/id_02,1155,0.4888,0.5721
50,ToyConveyor/id_03,1154,0.5747,0.6540
