class,scorer,epoch,AUROC
ToyCar,teacher-maha,4,75.682
ToyCar,teacher-maha,6,75.682
ToyCar,teacher-maha,8,75.682
ToyCar,teacher-maha,10,75.682
ToyCar,teacher-maha,12,75.682
ToyCar,teacher-maha,14,75.682
ToyCar,teacher-maha,16,75.682
ToyCar,teacher-maha,18,75.682
ToyCar,teacher-maha,20,75.682
ToyCar,teacher-maha,22,75.682
ToyCar,teacher-maha,24,75.682
ToyCar,teacher-maha,26,75.682
ToyCar,teacher-maha,28,75.682
ToyCar,teacher-maha,30,75.682
ToyCar,teacher-maha,32,75.682
ToyCar,teacher-maha,34,75.682
ToyCar,teacher-maha,36,75.682
ToyCar,teacher-maha,38,75.682
ToyCar,teacher-maha,40,75.682
ToyCar,teacher-maha,42,75.682
ToyCar,teacher-maha,44,75.682
ToyCar,teacher-maha,46,75.682
ToyCar,teacher-maha,48,75.682
ToyCar,teacher-maha,50,75.682
ToyCar,teacher-knn,2,74.138
ToyCar,teacher-knn,4,74.138
ToyCar,teacher-knn,6,74.138
ToyCar,teacher-knn,8,74.138
ToyCar,teacher-knn,10,74.138
ToyCar,teacher-knn,12,74.138
ToyCar,teacher-knn,14,74.138
ToyCar,teacher-knn,16,74.138
ToyCar,teacher-knn,18,74.138
ToyCar,teacher-knn,20,74.138
ToyCar,teacher-knn,22,74.138
ToyCar,teacher-knn,24,74.138
ToyCar,teacher-knn,26,74.138
ToyCar,teacher-knn,28,74.138
ToyCar,teacher-knn,30,74.138
ToyCar,teacher-knn,32,74.138
ToyCar,teacher-knn,34,74.138
ToyCar,teacher-knn,36,74.138
ToyCar,teacher-knn,38,74.138
ToyCar,teacher-knn,40,74.138
ToyCar,teacher-knn,42,74.138
ToyCar,teacher-knn,44,74.138
ToyCar,teacher-knn,46,74.138
ToyCar,teacher-knn,48,74.138
ToyCar,teacher-knn,50,74.138
ToyConveyor,cos-residual,2,61.416
ToyConveyor,cos-residual,4,63.043
ToyConveyor,cos-residual,6,62.576
ToyConveyor,cos-residual,8,63.963
ToyConveyor,cos-residual,10,64.341
ToyConveyor,cos-residual,12,63.923
ToyConveyor,cos-residual,14,63.297
ToyConveyor,cos-residual,16,63.069
ToyConveyor,cos-residual,18,63.481
ToyConveyor,cos-residual,20,63.738
ToyConveyor,cos-residual,22,63.743
ToyConveyor,cos-residual,24,63.193
ToyConveyor,cos-residual,26,62.576
ToyConveyor,cos-residual,28,62.911
ToyConveyor,cos-residual,30,62.742
ToyConveyor,cos-residual,32,62.824
ToyConveyor,cos-residual,34,62.252
ToyConveyor,cos-residual,36,62.077
ToyConveyor,cos-residual,38,61.697
ToyConveyor,cos-residual,40,61.732
ToyConveyor,cos-residual,42,61.979
ToyConveyor,cos-residual,44,61.854
ToyConveyor,cos-residual,46,62.021
ToyConveyor,cos-residual,48,61.931
ToyConveyor,cos-residual,50,62.019
ToyConveyor,student-maha,2,58.712
ToyConveyor,student-maha,4,60.528
ToyConveyor,student-maha,6,61.112
ToyConveyor,student-maha,8,60.709
ToyConveyor,student-maha,10,61.781
ToyConveyor,student-maha,12,62.293
ToyConveyor,student-maha,14,62.446
ToyConveyor,student-maha,16,63.364
ToyConveyor,student-maha,18,63.586
ToyConveyor,student-maha,20,64.141
ToyConveyor,student-maha,22,63.993
ToyConveyor,student-maha,24,64.207
ToyConveyor,student-maha,26,64.651
ToyConveyor,student-maha,28,64.34
ToyConveyor,student-maha,30,64.983
ToyConveyor,student-maha,32,64.289
ToyConveyor,student-maha,34,64.651
ToyConveyor,student-maha,36,64.799
ToyConveyor,student-maha,38,64.48
ToyConveyor,student-maha,40,65.437
ToyConveyor,student-maha,42,65.202
ToyConveyor,student-maha,44,65.264
ToyConveyor,student-maha,46,65.215
ToyConveyor,student-maha,48,65.13
ToyConveyor,student-maha,50,64.988
ToyConveyor,student-knn,2,56.179
ToyConveyor,student-knn,4,56.821
ToyConveyor,student-knn,6,56.969
ToyConveyor,student-knn,8,57.942
ToyConveyor,student-knn,10,58.997
ToyConveyor,student-knn,12,58.455
ToyConveyor,student-knn,14,59.042
ToyConveyor,student-knn,16,59.558
ToyConveyor,student-knn,18,59.822
ToyConveyor,student-knn,20,60.011
ToyConveyor,student-knn,22,60.138
ToyConveyor,student-knn,24,60.677
ToyConveyor,student-knn,26,61.355
ToyConveyor,student-knn,28,61.355
ToyConveyor,student-knn,30,61.837
ToyConveyor,student-knn,32,61.609
ToyConveyor,student-knn,34,61.784
ToyConveyor,student-knn,36,61.869
ToyConveyor,student-knn,38,61.606
ToyConveyor,student-knn,40,62.142
ToyConveyor,student-knn,42,62.167
ToyConveyor,student-knn,44,62.193
ToyConveyor,student-knn,46,62.201
ToyConveyor,student-knn,48,62.193
ToyConveyor,student-knn,50,62.068
ToyConveyor,teacher-maha,2,63.788
ToyConveyor,teacher-maha,4,63.788
ToyConveyor,teacher-maha,6,63.788
ToyConveyor,teacher-maha,8,63.788
ToyConveyor,teacher-maha,10,63.788
ToyConveyor,teacher-maha,12,63.788
ToyConveyor,teacher-maha,14,63.788
ToyConveyor,teacher-maha,16,63.788
ToyConveyor,teacher-maha,18,63.788
ToyConveyor,teacher-maha,20,63.788
ToyConveyor,teacher-maha,22,63.788
ToyConveyor,teacher-maha,24,63.788
ToyConveyor,teacher-maha,26,63.788
ToyConveyor,teacher-maha,28,63.788
ToyConveyor,teacher-maha,30,63.788
ToyConveyor,teacher-maha,32,63.788
ToyConveyor,teacher-maha,34,63.788
ToyConveyor,teacher-maha,36,63.788
ToyConveyor,teacher-maha,38,63.788
ToyConveyor,teacher-maha,40,63.788
ToyConveyor,teacher-maha,42,63.788
ToyConveyor,teacher-maha,44,63.788
ToyConveyor,teacher-maha,46,63.788
ToyConveyor,teacher-maha,48,63.788
ToyConveyor,teacher-maha,50,63.788
ToyConveyor,teacher-knn,2,64.157
ToyConveyor,teacher-knn,4,64.157
ToyConveyor,teacher-knn,6,64.157
ToyConveyor,teacher-knn,8,64.157
ToyConveyor,teacher-knn,10,64.157
ToyConveyor,teacher-knn,12,64.157
ToyConveyor,teacher-knn,14,64.157
ToyConveyor,teacher-knn,16,64.157
ToyConveyor,teacher-knn,18,64.157
ToyConveyor,teacher-knn,20,64.157
ToyConveyor,teacher-knn,22,64.157
ToyConveyor,teacher-knn,24,64.157
ToyConveyor,teacher-knn,26,64.157
ToyConveyor,teacher-knn,28,64.157
ToyConveyor,teacher-knn,30,64.157
ToyConveyor,teacher-knn,32,64.157
ToyConveyor,teacher-knn,34,64.157
ToyConveyor,teacher-knn,36,64.157
ToyConveyor,teacher-knn,38,64.157
ToyConveyor,teacher-knn,40,64.157
ToyConveyor,teacher-knn,42,64.157
ToyConveyor,teacher-knn,44,64.157
ToyConveyor,teacher-knn,46,64.157
ToyConveyor,teacher-knn,48,64.157
ToyConveyor,teacher-knn,50,64.157
