epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
32,logit_nll,0.7167,0.8021,0.7889,0.7737,0.8332,0.5377,0.7420
32,maha_embed,0.7502,0.8147,0.9249,0.8258,0.8389,0.6539,0.8014
33,neg_cos,0.8065,0.8817,0.8831,0.9208,0.8685,0.6629,0.8373
33,logit_nll,0.7478,0.7527,0.7824,0.6980,0.7912,0.5313,0.7172
33,maha_embed,0.7684,0.8125,0.9010,0.8370,0.8366,0.6219,0.7962
34,neg_cos,0.7631,0.9068,0.8032,0.9413,0.8886,0.6325,0.8226
34,logit_nll,0.6966,0.7799,0.7558,0.7756,0.8084,0.5162,0.7221
34,maha_embed,0.7334,0.8282,0.8955,0.8092,0.8117,0.6590,0.7895
35,neg_cos,0.7382,0.8742,0.8278,0.9091,0.9187,0.5973,0.8109
35,logit_nll,0.6871,0.7615,0.7610,0.7401,0.8173,0.5203,0.7145
35,maha_embed,0.7212,0.8228,0.8990,0.8429,0.8438,0.6613,0.7985
36,neg_cos,0.7874,0.9043,0.7982,0.9565,0.8761,0.5890,0.8186
36,logit_nll,0.7018,0.7398,0.7726,0.7215,0.8134,0.5248,0.7123
36,maha_embed,0.7413,0.8158,0.9214,0.8710,0.8508,0.6559,0.8094
37,neg_cos,0.8448,0.9137,0.8334,0.9388,0.9135,0.6182,0.8437
37,logit_nll,0.7389,0.7864,0.7568,0.7161,0.8338,0.5469,0.7298
37,maha_embed,0.7275,0.8070,0.9205,0.8750,0.8017,0.6371,0.7948
38,neg_cos,0.8155,0.9140,0.8239,0.9294,0.8714,0.5819,0.8227
38,logit_nll,0.7092,0.7766,0.7607,0.7255,0.8333,0.5329,0.7230
38,maha_embed,0.7570,0.8073,0.8916,0.8377,0.8411,0.6116,0.7911
39,neg_cos,0.8158,0.9066,0.8575,0.8808,0.9334,0.6074,0.8336
39,logit_nll,0.6936,0.7708,0.7696,0.7203,0.8301,0.5263,0.7184
39,maha_embed,0.7216,0.8320,0.9058,0.8240,0.8448,0.6207,0.7915
40,neg_cos,0.8356,0.8667,0.8682,0.8602,0.9100,0.6040,0.8241
40,logit_nll,0.7030,0.7522,0.7705,0.7015,0.8256,0.5194,0.7120
40,maha_embed,0.6872,0.8327,0.9035,0.8700,0.8010,0.6364,0.7885
41,neg_cos,0.7662,0.8891,0.8073,0.8030,0.8883,0.6395,0.7989
41,logit_nll,0.7017,0.7889,0.7673,0.6909,0.8308,0.5203,0.7166
41,maha_embed,0.7184,0.8471,0.9153,0.8803,0.8171,0.6373,0.8026
42,neg_cos,0.7665,0.8417,0.8307,0.9080,0.8548,0.6633,0.8108
42,logit_nll,0.7186,0.7494,0.7517,0.6962,0.8008,0.5396,0.7094
42,maha_embed,0.7129,0.8331,0.8815,0.8807,0.8182,0.6375,0.7940
43,neg_cos,0.7904,0.8187,0.7726,0.8689,0.9074,0.6037,0.7936
43,logit_nll,0.7098,0.7560,0.7560,0.6430,0.8194,0.5208,0.7008
43,maha_embed,0.7400,0.8342,0.8858,0.8614,0.8329,0.6425,0.7995
44,neg_cos,0.7657,0.8630,0.8693,0.8653,0.9374,0.6749,0.8293
44,logit_nll,0.7079,0.7529,0.7427,0.6159,0.8155,0.5187,0.6923
44,maha_embed,0.7278,0.8255,0.9105,0.8571,0.8116,0.6515,0.7973
45,neg_cos,0.7229,0.8933,0.8878,0.8055,0.8856,0.6210,0.8027
45,logit_nll,0.6811,0.7828,0.7365,0.6814,0.8064,0.5318,0.7033
45,maha_embed,0.7295,0.8179,0.9099,0.9206,0.8082,0.6408,0.8045
46,neg_cos,0.7831,0.8431,0.8500,0.9050,0.8817,0.6144,0.8129
46,logit_nll,0.6975,0.7572,0.7517,0.6962,0.8012,0.5208,0.7041
46,maha_embed,0.7308,0.7908,0.9069,0.9418,0.8136,0.6512,0.8059
47,neg_cos,0.8404,0.8515,0.8073,0.8591,0.8961,0.6406,0.8158
47,logit_nll,0.7565,0.7308,0.7323,0.6682,0.7977,0.5447,0.7050
47,maha_embed,0.7493,0.7845,0.9234,0.9227,0.8488,0.6581,0.8145
48,neg_cos,0.7168,0.8526,0.8538,0.8655,0.9390,0.6461,0.8123
48,logit_nll,0.6931,0.7738,0.7531,0.7060,0.8481,0.5270,0.7169
48,maha_embed,0.7358,0.8308,0.8935,0.8890,0.8475,0.6614,0.8097
49,neg_cos,0.8253,0.9002,0.8774,0.8510,0.9088,0.6893,0.8420
49,logit_nll,0.7261,0.7789,0.7694,0.6618,0.8014,0.5305,0.7114
49,maha_embed,0.7243,0.8143,0.9009,0.9144,0.8617,0.6465,0.8103
50,neg_cos,0.7610,0.9000,0.8974,0.8640,0.8767,0.6761,0.8292
50,logit_nll,0.6999,0.7606,0.7467,0.6422,0.8025,0.5451,0.6995
50,maha_embed,0.7302,0.8163,0.9160,0.8749,0.8357,0.6613,0.8057
