epoch,section,n,neg_cos,maha_embed
45,ToyCar/id_04,615,0.9791,0.9095
45,ToyConveyor/id_01,1200,0.6603,0.7805
45,ToyConveyor/id_02,1155,0.4131,0.5615
45,ToyConveyor/id_03,1154,0.6897,0.6592
46,ToyCar/id_01,614,0.6792,0.7880
46,ToyCar/id_02,615,0.7515,0.8515
46,ToyCar/id_03,615,0.9617,0.9216
46,ToyCar/id_04,615,0.9948,0.8146
46,ToyConveyor/id_01,1200,0.6965,0.7657
46,ToyConveyor/id_02,1155,0.4904,0.5558
46,ToyConveyor/id_03,1154,0.3444,0.7778
47,ToyCar/id_01,614,0.6486,0.8091
47,ToyCar/id_02,615,0.8672,0.9304
47,ToyCar/id_03,615,0.9537,0.9480
47,ToyCar/id_04,615,0.9787,0.9421
47,ToyConveyor/id_01,1200,0.7388,0.7904
47,ToyConveyor/id_02,1155,0.4073,0.5908
47,ToyConveyor/id_03,1154,0.7643,0.7161
48,ToyCar/id_01,614,0.7185,0.8576
48,ToyCar/id_02,615,0.8848,0.8492
48,ToyCar/id_03,615,0.9148,0.9256
48,ToyCar/id_04,615,0.9938,0.9192
48,ToyConveyor/id_01,1200,0.7218,0.7950
48,ToyConveyor/id_02,1155,0.5556,0.6026
48,ToyConveyor/id_03,1154,0.5083,0.6677
49,ToyCar/id_01,614,0.6660,0.8370
49,ToyCar/id_02,615,0.8908,0.8916
49,ToyCar/id_03,615,0.9584,0.9547
49,ToyCar/id_04,615,0.9987,0.9478
49,ToyConveyor/id_01,1200,0.5663,0.7850
49,ToyConveyor/id_02,1155,0.5477,0.5678
49,ToyConveyor/id_03,1154,0.6628,0.6422
50,ToyCar/id_01,614,0.7980,0.8276
50,ToyCar/id_02,615,0.8843,0.8648
50,ToyCar/id_03,615,0.9157,0.9119
50,ToyCar/id_04,615,0.9931,0.8106
50,ToyConveyor/id_01,1200,0.8320,0.7862
50,ToyConveyor/id_02,1155,0.5472,0.5615
50,ToyConveyor/id_03,1154,0.6090,0.6812
