epoch,section,n,neg_cos,maha_embed
33,ToyConveyor/id_03,1154,0.5404,0.6344
34,ToyCar/id_01,614,0.8100,0.8177
34,ToyCar/id_02,615,0.8941,0.8815
34,ToyCar/id_03,615,0.9322,0.7823
34,ToyCar/id_04,615,1.0000,0.8593
34,ToyConveyor/id_01,1200,0.7694,0.7181
34,ToyConveyor/id_02,1155,0.5499,0.5656
34,ToyConveyor/id_03,1154,0.4044,0.6555
35,ToyCar/id_01,614,0.8335,0.7965
35,ToyCar/id_02,615,0.9096,0.9039
35,ToyCar/id_03,615,0.9694,0.7857
35,ToyCar/id_04,615,0.9995,0.8864
35,ToyConveyor/id_01,1200,0.6981,0.7034
35,ToyConveyor/id_02,1155,0.4577,0.5634
35,ToyConveyor/id_03,1154,0.4601,0.6424
36,ToyCar/id_01,614,0.8339,0.8201
36,ToyCar/id_02,615,0.9194,0.9088
36,ToyCar/id_03,615,0.9113,0.7587
36,ToyCar/id_04,615,0.9999,0.8697
36,ToyConveyor/id_01,1200,0.5880,0.7307
36,ToyConveyor/id_02,1155,0.5274,0.5507
36,ToyConveyor/id_03,1154,0.5121,0.6047
37,ToyCar/id_01,614,0.7219,0.8071
37,ToyCar/id_02,615,0.8596,0.8968
37,ToyCar/id_03,615,0.9147,0.7370
37,ToyCar/id_04,615,0.9995,0.8601
37,ToyConveyor/id_01,1200,0.5904,0.7228
37,ToyConveyor/id_02,1155,0.4837,0.5579
37,ToyConveyor/id_03,1154,0.6032,0.6245
38,ToyCar/id_01,614,0.7064,0.8034
38,ToyCar/id_02,615,0.8464,0.8863
38,ToyCar/id_03,615,0.9695,0.7699
38,ToyCar/id_04,615,0.9994,0.9185
38,ToyConveyor/id_01,1200,0.7437,0.7357
38,ToyConveyor/id_02,1155,0.5077,0.5737
38,ToyConveyor/id_03,1154,0.6729,0.6568
39,ToyCar/id_01,614,0.7484,0.7737
39,ToyCar/id_02,615,0.7565,0.8753
39,ToyCar/id_03,615,0.9731,0.7914
39,ToyCar/id_04,615,0.9969,0.8949
39,ToyConveyor/id_01,1200,0.6511,0.7185
39,ToyConveyor/id_02,1155,0.5452,0.5635
39,ToyConveyor/id_03,1154,0.6304,0.6562
40,ToyCar/id_01,614,0.7727,0.7991
40,ToyCar/id_02,615,0.8867,0.8813
40,ToyCar/id_03,615,0.9222,0.7108
40,ToyCar/id_04,615,0.9967,0.8959
40,ToyConveyor/id_01,1200,0.7903,0.7698
40,ToyConveyor/id_02,1155,0.5519,0.5552
40,ToyConveyor/id_03,1154,0.6227,0.6647
41,ToyCar/id_01,614,0.7222,0.7333
41,ToyCar/id_02,615,0.8960,0.8509
41,ToyCar/id_03,615,0.7921,0.6329
41,ToyCar/id_04,615,0.9998,0.8680
41,ToyConveyor/id_01,1200,0.7249,0.7027
41,ToyConveyor/id_02,1155,0.6519,0.5689
41,ToyConveyor/id_03,1154,0.4920,0.6572
42,ToyCar/id_01,614,0.7010,0.7857
42,ToyCar/id_02,615,0.8490,0.8955
42,ToyCar/id_03,615,0.8412,0.7334
42,ToyCar/id_04,615,0.9998,0.8763
42,ToyConveyor/id_01,1200,0.7060,0.7296
42,ToyConveyor/id_02,1155,0.4869,0.5544
42,ToyConveyor/id_03,1154,0.4408,0.6277
43,ToyCar/id_01,614,0.7825,0.7793
43,ToyCar/id_02,615,0.9205,0.8427
43,ToyCar/id_03,615,0.9401,0.7901
43,ToyCar/id_04,615,0.9999,0.8821
43,ToyConveyor/id_01,1200,0.7697,0.7055
43,ToyConveyor/id_02,1155,0.4743,0.5553
43,ToyConveyor/id_03,1154,0.5065,0.6198
44,ToyCar/id_01,614,0.7865,0.7967
44,ToyCar/id_02,615,0.9150,0.8864
44,ToyCar/id_03,615,0.9720,0.8134
44,ToyCar/id_04,615,0.9998,0.9132
44,ToyConveyor/id_01,1200,0.7357,0.7148
44,ToyConveyor/id_02,1155,0.5408,0.5391
44,ToyConveyor/id_03,1154,0.4414,0.6361
45,ToyCar/id_01,614,0.8043,0.7988
45,ToyCar/id_02,615,0.9313,0.8834
45,ToyCar/id_03,615,0.9512,0.8150
45,ToyCar/id_04,615,0.9999,0.9272
45,ToyConveyor/id_01,1200,0.7240,0.7006
45,ToyConveyor/id_02,1155,0.5419,0.5475
45,ToyConveyor/id_03,1154,0.4875,0.6264
46,ToyCar/id_01,614,0.7997,0.7853
46,ToyCar/id_02,615,0.9039,0.8877
46,ToyCar/id_03,615,0.9659,0.7836
46,ToyCar/id_04,615,0.9996,0.9038
46,ToyConveyor/id_01,1200,0.6599,0.6882
46,ToyConveyor/id_02,1155,0.5694,0.5482
46,ToyConveyor/id_03,1154,0.4393,0.6147
47,ToyCar/id_01,614,0.7346,0.7680
47,ToyCar/id_02,615,0.8987,0.8781
47,ToyCar/id_03,615,0.9692,0.8065
47,ToyCar/id_04,615,0.9999,0.8863
47,ToyConveyor/id_01,1200,0.5122,0.7211
47,ToyConveyor/id_02,1155,0.5685,0.5738
47,ToyConveyor/id_03,1154,0.5460,0.6020
48,ToyCar/id_01,614,0.7421,0.7836
48,ToyCar/id_02,615,0.7533,0.9077
48,ToyCar/id_03,615,0.9676,0.8331
48,ToyCar/id_04,615,0.9995,0.9121
48,ToyConveyor/id_01,1200,0.5948,0.7229
48,ToyConveyor/id_02,1155,0.5251,0.5786
48,ToyConveyor/id_03,1154,0.4967,0.6385
49,ToyCar/id_01,614,0.6649,0.8151
49,ToyCar/id_02,615,0.8440,0.8938
49,ToyCar/id_03,615,0.9324,0.7928
49,ToyCar/id_04,615,0.9931,0.9169
49,ToyConveyor/id_01,1200,0.7339,0.7184
49,ToyConveyor/id_02,1155,0.5664,0.5985
49,ToyConveyor/id_03,1154,0.7480,0.6906
50,ToyCar/id_01,614,0.6315,0.7980
50,ToyCar/id_02,615,0.8607,0.8739
50,ToyCar/id_03,615,0.9660,0.7089
50,ToyCar/id_04,615,0.9998,0.8266
50,ToyConveyor/id_01,1200,0.6546,0.7273
50,ToyConveyor/id_02,1155,0.5376,0.5558
50,ToyConveyor/id_03,1154,0.4265,0.6538
