epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
35,neg_cos,0.7816,0.8894,0.9274,0.9072,0.9145,0.5333,0.8256
35,logit_nll,0.7331,0.7585,0.7702,0.7109,0.8452,0.5221,0.7233
35,maha_embed,0.7677,0.8260,0.9259,0.8363,0.8425,0.6405,0.8065
36,neg_cos,0.7407,0.9309,0.9010,0.9413,0.9289,0.5429,0.8309
36,logit_nll,0.7329,0.7719,0.7982,0.7456,0.8380,0.5322,0.7365
36,maha_embed,0.7499,0.8220,0.9033,0.8197,0.8416,0.6352,0.7953
37,neg_cos,0.6897,0.8691,0.9031,0.9327,0.9085,0.5507,0.8090
37,logit_nll,0.7112,0.7778,0.8429,0.7331,0.8153,0.5228,0.7338
37,maha_embed,0.7332,0.8077,0.8947,0.8237,0.8255,0.6401,0.7875
38,neg_cos,0.7748,0.9005,0.8687,0.8667,0.9041,0.6430,0.8263
38,logit_nll,0.7010,0.7634,0.7834,0.6889,0.8266,0.5297,0.7155
38,maha_embed,0.7623,0.8393,0.9139,0.8226,0.8477,0.6606,0.8077
39,neg_cos,0.7537,0.9212,0.8382,0.9154,0.8913,0.5900,0.8183
39,logit_nll,0.6980,0.7950,0.7725,0.7109,0.8272,0.5189,0.7204
39,maha_embed,0.7573,0.8253,0.9180,0.8077,0.8346,0.6491,0.7987
40,neg_cos,0.8333,0.8873,0.8360,0.8634,0.8866,0.6435,0.8250
40,logit_nll,0.7518,0.7625,0.7777,0.7255,0.8252,0.5412,0.7307
40,maha_embed,0.7568,0.8229,0.9213,0.8153,0.8250,0.6680,0.8016
41,neg_cos,0.7594,0.8851,0.8109,0.8534,0.8829,0.5948,0.7977
41,logit_nll,0.7311,0.7704,0.7478,0.8076,0.8160,0.5209,0.7323
41,maha_embed,0.7326,0.8155,0.8869,0.8028,0.7736,0.6452,0.7761
42,neg_cos,0.7316,0.8916,0.8694,0.9179,0.8648,0.5581,0.8056
42,logit_nll,0.7092,0.7593,0.7650,0.7119,0.8115,0.5212,0.7130
42,maha_embed,0.7396,0.8171,0.8942,0.8098,0.8240,0.6415,0.7877
43,neg_cos,0.8126,0.9040,0.8838,0.8134,0.9240,0.5880,0.8210
43,logit_nll,0.7166,0.7548,0.7739,0.6942,0.8405,0.5262,0.7177
43,maha_embed,0.7197,0.8295,0.9073,0.8488,0.8240,0.6282,0.7929
44,neg_cos,0.7959,0.8652,0.8342,0.8827,0.9360,0.5781,0.8154
44,logit_nll,0.7132,0.7599,0.7848,0.7255,0.8412,0.5235,0.7247
44,maha_embed,0.7574,0.8171,0.9056,0.8319,0.8518,0.6327,0.7994
45,neg_cos,0.7165,0.9039,0.8720,0.9253,0.9048,0.5672,0.8149
45,logit_nll,0.7034,0.7596,0.7819,0.7307,0.8290,0.5189,0.7206
45,maha_embed,0.7686,0.8221,0.9097,0.8367,0.8564,0.6271,0.8034
46,neg_cos,0.7855,0.8546,0.8165,0.8910,0.9125,0.5590,0.8032
46,logit_nll,0.7178,0.7554,0.7653,0.6973,0.8307,0.5131,0.7133
46,maha_embed,0.7451,0.8166,0.9011,0.8364,0.8427,0.6205,0.7937
47,neg_cos,0.8129,0.9207,0.8864,0.9108,0.8968,0.5324,0.8267
47,logit_nll,0.7362,0.8059,0.7769,0.6764,0.8275,0.5148,0.7230
47,maha_embed,0.7663,0.8128,0.9079,0.8479,0.8333,0.6359,0.8007
48,neg_cos,0.7648,0.8990,0.8556,0.8715,0.9130,0.5543,0.8097
48,logit_nll,0.7124,0.7820,0.7729,0.7691,0.8185,0.5194,0.7291
48,maha_embed,0.7463,0.8347,0.8975,0.7926,0.8589,0.6514,0.7969
49,neg_cos,0.8320,0.8744,0.8485,0.8879,0.8385,0.6448,0.8210
49,logit_nll,0.7370,0.7851,0.7597,0.7453,0.7974,0.5280,0.7254
49,maha_embed,0.7505,0.8298,0.8912,0.8026,0.8542,0.6709,0.7999
50,neg_cos,0.7725,0.9345,0.8620,0.8650,0.9174,0.5418,0.8155
50,logit_nll,0.7100,0.8126,0.7604,0.7338,0.8334,0.5120,0.7270
50,maha_embed,0.7390,0.8270,0.8959,0.8584,0.8039,0.6510,0.7959
